filename,title,author,date,age_years,status,reasoning,technologies_str,deprecated_services_str,deprecated_versions_str,recommendations_str,content_length,has_images,has_code_blocks
2015-03-23-running-nodejs-and-php-on-same-azure-website.md,Running Nodejs and php on Same Azure website,Prashanth Madi,2015-03-23,10.5,outdated,"Post is 10.5 years old, likely contains outdated information",dotnet; php nodejs; nodejs; php,,,Consider archiving or completely rewriting this post; Add deprecation notice if keeping for historical reference; Cross-reference with current Microsoft Learn documentation; Update screenshots and UI references if applicable,4826,True,False
2015-03-24-finding-correct-version-of-php-extension-for-azure-web-site.md,Finding Correct Version of PHP Extension for Azure Web Site,,2015-03-24,10.5,outdated,"Post is 10.5 years old, likely contains outdated information; References deprecated technology versions: php 5.",php extension azure webapps; php troubleshooting; php; dotnet,,php 5.,Consider archiving or completely rewriting this post; Add deprecation notice if keeping for historical reference; Update technology versions to currently supported versions; Consider updating php 5. to 8.3; Cross-reference with current Microsoft Learn documentation; Update screenshots and UI references if applicable,2002,True,False
2015-03-27-performance-tuning-mysql-database-on-azure-linux-vms.md,Performance Tuning MySQL Database on Azure Linux VM's,Srikanth S.,2015-03-27,10.4,outdated,"Post is 10.4 years old, likely contains outdated information",azure mysql performance tuning; mysql,,,Consider archiving or completely rewriting this post; Add deprecation notice if keeping for historical reference; Cross-reference with current Microsoft Learn documentation; Update screenshots and UI references if applicable,3662,False,False
2015-03-30-uploading-files-to-azure-storage-using-sasshared-access-signature.md,Uploading files to Azure Storage using SAS(shared access signature) - Python,Prashanth Madi,2015-03-30,10.4,outdated,"Post is 10.4 years old, likely contains outdated information",dotnet; python; sas; docker,,,Consider archiving or completely rewriting this post; Add deprecation notice if keeping for historical reference; Cross-reference with current Microsoft Learn documentation; Update screenshots and UI references if applicable,1599,True,False
2015-04-02-azure-app-service-web-apps-install-mail-package-using-composer.md,Azure App Service Web Apps  - Install Mail package using composer,Prashanth Madi,2015-04-02,10.4,outdated,"Post is 10.4 years old, likely contains outdated information; References deprecated technology versions: php 5.",dotnet; composer; azure; php; web apps,,php 5.,Consider archiving or completely rewriting this post; Add deprecation notice if keeping for historical reference; Update technology versions to currently supported versions; Consider updating php 5. to 8.3; Cross-reference with current Microsoft Learn documentation; Update screenshots and UI references if applicable,3175,True,True
2015-04-03-installing-php-package-on-azure-website-using-pear-package-manager.md,Installing PHP Package on Azure Website Using PEAR Package Manager,Prashanth Madi,2015-04-03,10.4,outdated,"Post is 10.4 years old, likely contains outdated information",dotnet; php; mail package; pear,,,Consider archiving or completely rewriting this post; Add deprecation notice if keeping for historical reference; Cross-reference with current Microsoft Learn documentation; Update screenshots and UI references if applicable,2493,True,False
2015-04-06-giving-your-existing-wordpress-multisite-a-new-domain-name-on-microsoft-azure.md,Giving your existing WordPress MultiSite a new domain name on Microsoft Azure,Mangesh Sangapu,2015-04-06,10.4,outdated,"Post is 10.4 years old, likely contains outdated information; References deprecated Azure services: Web Sites",domain name; wordpress; multisite; dotnet; azure; php; web apps,Web Sites,,Consider archiving or completely rewriting this post; Add deprecation notice if keeping for historical reference; Update references from 'Web Sites' to 'Azure App Service'; Cross-reference with current Microsoft Learn documentation; Update screenshots and UI references if applicable,3131,True,False
2015-04-07-lamp-migration-to-web-apps-previously-known-as-websites.md,LAMP Migration to Web Apps,Srikanth S.,2015-04-07,10.4,outdated,"Post is 10.4 years old, likely contains outdated information; References deprecated technology versions: php 5.",wordpress; dotnet; cleardb; mysql; php,,php 5.,Consider archiving or completely rewriting this post; Add deprecation notice if keeping for historical reference; Update technology versions to currently supported versions; Consider updating php 5. to 8.3; Cross-reference with current Microsoft Learn documentation; Update screenshots and UI references if applicable,12044,True,False
2015-04-13-magento-cron-jobs-on-azure.md,Magento Cron Jobs to Azure Web Jobs,Mangesh Sangapu,2015-04-13,10.4,outdated,"Post is 10.4 years old, likely contains outdated information; References deprecated technology versions: php 5.",magento; web jobs; azure; php; web apps,,php 5.,Consider archiving or completely rewriting this post; Add deprecation notice if keeping for historical reference; Update technology versions to currently supported versions; Consider updating php 5. to 8.3; Cross-reference with current Microsoft Learn documentation; Update screenshots and UI references if applicable,2701,True,False
2015-04-15-info-about-php-fatal-error-and-error-log-on-azure-website.md,PHP Error Log on Azure Website,Yi Wang,2015-04-15,10.4,outdated,"Post is 10.4 years old, likely contains outdated information; References deprecated technology versions: php 5.",php troubleshooting; dotnet; php error log azure webapps; php,,php 5.,Consider archiving or completely rewriting this post; Add deprecation notice if keeping for historical reference; Update technology versions to currently supported versions; Consider updating php 5. to 8.3; Cross-reference with current Microsoft Learn documentation; Update screenshots and UI references if applicable,2416,True,False
2015-04-16-magento-indexing-and-root-category-on-microsoft-azure.md,Magento Indexing and Root Category on Microsoft Azure,Mangesh Sangapu,2015-04-16,10.4,outdated,"Post is 10.4 years old, likely contains outdated information",magento; indexing; magento root category; azure; php; web apps,,,Consider archiving or completely rewriting this post; Add deprecation notice if keeping for historical reference; Cross-reference with current Microsoft Learn documentation; Update screenshots and UI references if applicable,4193,True,False
2015-04-23-converting-apache-htaccess-rules-to-iis-web-config-using-iis-manager-for-azure-websites.md,Converting Apache .htaccess rules to IIS web.config using IIS Manager for Azure Websites,Mangesh Sangapu,2015-04-23,10.4,outdated,"Post is 10.4 years old, likely contains outdated information",azure app service web app; iis; dotnet; web.config; .htaccess; apache; azure; web apps,,,Consider archiving or completely rewriting this post; Add deprecation notice if keeping for historical reference; Cross-reference with current Microsoft Learn documentation; Update screenshots and UI references if applicable,2025,True,False
2015-04-27-improving-wordpress-performance-use-azure-cdn.md,Use Azure CDN for WordPress site on Azure App,Yi Wang,2015-04-27,10.4,outdated,"Post is 10.4 years old, likely contains outdated information",wordpress; cdn; dotnet; wordpress azure cdn; php,,,Consider archiving or completely rewriting this post; Add deprecation notice if keeping for historical reference; Cross-reference with current Microsoft Learn documentation; Update screenshots and UI references if applicable,1743,True,False
2015-04-28-executing-java-web-jobs-on-azure.md, Executing Java Web Jobs on Azure,Prasad K.,2015-04-28,10.4,outdated,"Post is 10.4 years old, likely contains outdated information; References deprecated technology versions: java 7",azure; java configuration; webjob; java,,java 7,Consider archiving or completely rewriting this post; Add deprecation notice if keeping for historical reference; Update technology versions to currently supported versions; Consider updating java 7 to 21; Cross-reference with current Microsoft Learn documentation; Update screenshots and UI references if applicable,791,True,False
2015-05-01-magento-web-config-for-azure-and-iis.md, Magento Web.Config for Azure and IIS,,2015-05-01,10.3,outdated,"Post is 10.3 years old, likely contains outdated information",azure app service web app; magento; iis; .htaccess; web.config; azure; php,,,Consider archiving or completely rewriting this post; Add deprecation notice if keeping for historical reference; Cross-reference with current Microsoft Learn documentation; Update screenshots and UI references if applicable,3614,True,False
2015-05-07-troubleshooting-mysql-database-on-cleardb.md, Troubleshooting MySQL Database on ClearDB - Deprecated,Mangesh Sangapu,2015-05-07,10.3,outdated,"Post is 10.3 years old, likely contains outdated information",wordpress troubleshooting; dotnet; cleardb troubleshooting; cleardb; mysql; azure; php; web apps,,,Consider archiving or completely rewriting this post; Add deprecation notice if keeping for historical reference; Cross-reference with current Microsoft Learn documentation; Update screenshots and UI references if applicable,5439,True,False
2015-05-08-running-java8-on-azure-web-apps.md,Running Java8 on Azure web apps,Prashanth Madi,2015-05-08,10.3,outdated,"Post is 10.3 years old, likely contains outdated information; References deprecated technology versions: java 8",azure; dotnet; java; docker,,java 8,Consider archiving or completely rewriting this post; Add deprecation notice if keeping for historical reference; Update technology versions to currently supported versions; Consider updating java 8 to 21; Cross-reference with current Microsoft Learn documentation; Update screenshots and UI references if applicable,3654,True,False
2015-05-12-generating-shared-access-signaturesas-on-azure-blob-using-php.md,Generating Shared access signature(SAS) on Azure Blob using PHP,Prashanth Madi,2015-05-12,10.3,outdated,"Post is 10.3 years old, likely contains outdated information",sas; blob storage; dotnet; php; azure storage; docker,,,Consider archiving or completely rewriting this post; Add deprecation notice if keeping for historical reference; Cross-reference with current Microsoft Learn documentation; Update screenshots and UI references if applicable,2614,False,True
2015-05-12-setting-up-session-affinitysticky-sessions-using-azure-java-sdk-for-cloud-service.md, Setting up Session Affinity/Sticky Sessions using Azure Java SDK for cloud service,Prasad K.,2015-05-12,10.3,outdated,"Post is 10.3 years old, likely contains outdated information",session; affinity; arr; sdk; azure; java; sticky; ssl offloading,,,Consider archiving or completely rewriting this post; Add deprecation notice if keeping for historical reference; Cross-reference with current Microsoft Learn documentation; Update screenshots and UI references if applicable,2030,True,False
2015-05-14-connect-to-microsoft-azure-redis-cache-from-wordpress-site.md,Connect to Microsoft Azure Redis Cache from WordPress site,Yi Wang,2015-05-14,10.3,outdated,"Post is 10.3 years old, likely contains outdated information; References deprecated technology versions: php 5.",how-to; wordpress; dotnet; redis; redis cache; php; wordpress azure cdn; web apps,,php 5.,Consider archiving or completely rewriting this post; Add deprecation notice if keeping for historical reference; Update technology versions to currently supported versions; Consider updating php 5. to 8.3; Cross-reference with current Microsoft Learn documentation; Update screenshots and UI references if applicable,2892,True,True
2015-05-15-logging-sql-server-jdbc-driver-operations-for-java-application-related-cloud-service.md,Logging SQL Server JDBC driver operations for Java application related cloud service,Prasad K.,2015-05-15,10.3,outdated,"Post is 10.3 years old, likely contains outdated information",jdbc; cloud; sql; sql server; debugging; azure; log; java,,,Consider archiving or completely rewriting this post; Add deprecation notice if keeping for historical reference; Cross-reference with current Microsoft Learn documentation; Update screenshots and UI references if applicable,4785,True,False
2015-05-18-how-to-disable-php-wincache-extension-from-php-ini-on-azure.md,How to disable php wincache extension from php.ini on Azure,,2015-05-18,10.3,outdated,"Post is 10.3 years old, likely contains outdated information; References deprecated technology versions: php 5.",php.ini wincache azure; php,,php 5.,Consider archiving or completely rewriting this post; Add deprecation notice if keeping for historical reference; Update technology versions to currently supported versions; Consider updating php 5. to 8.3; Cross-reference with current Microsoft Learn documentation; Update screenshots and UI references if applicable,1491,True,False
2015-06-01-create-nodejs-api-app-using-swaggerize-express-and-yo-tool.md,Create Nodejs API APP using Swaggerize-express and YO tool,Prashanth Madi,2015-06-01,10.3,outdated,"Post is 10.3 years old, likely contains outdated information",apiapp; nodejs; swagger; express,,,Consider archiving or completely rewriting this post; Add deprecation notice if keeping for historical reference; Cross-reference with current Microsoft Learn documentation; Update screenshots and UI references if applicable,3533,True,False
2015-06-01-troubleshoot-azure-api-app.md, Troubleshoot - Azure Api App,Prashanth Madi,2015-06-01,10.3,outdated,"Post is 10.3 years old, likely contains outdated information",dotnet; apiapp; api app; swagger,,,Consider archiving or completely rewriting this post; Add deprecation notice if keeping for historical reference; Cross-reference with current Microsoft Learn documentation; Update screenshots and UI references if applicable,2268,True,False
2015-06-01-use-redis-cache-memcache-option-on-azure-with-drupal.md,Use Redis Cache Memcache Option on Azure with Drupal 7,Yi Wang,2015-06-01,10.3,outdated,"Post is 10.3 years old, likely contains outdated information",dotnet; memcache; drupal; memcache drupal; php,,,Consider archiving or completely rewriting this post; Add deprecation notice if keeping for historical reference; Cross-reference with current Microsoft Learn documentation; Update screenshots and UI references if applicable,1988,True,False
2015-06-09-performance-tuning-mysql-database-on-windows-vms.md,Performance Tuning MySQL Database on Windows VMs,Srikanth S.,2015-06-09,10.2,outdated,"Post is 10.2 years old, likely contains outdated information",how-to; configuration; performance; azure vm; mysql,,,Consider archiving or completely rewriting this post; Add deprecation notice if keeping for historical reference; Cross-reference with current Microsoft Learn documentation; Update screenshots and UI references if applicable,3432,False,False
2015-06-11-wordpress-scheduled-jobs-wp-cron-php-and-slowness.md,WordPress Scheduled Jobs (wp-cron.php) and Slowness,Mangesh Sangapu,2015-06-11,10.2,outdated,"Post is 10.2 years old, likely contains outdated information; References deprecated technology versions: php 5.",wordpress; web jobs; azure web jobs; wordpress troubleshooting; performance; cron jobs; php wordpress troubleshooting wordpress; mysql; azure; webjob; php; web apps,,php 5.,Consider archiving or completely rewriting this post; Add deprecation notice if keeping for historical reference; Update technology versions to currently supported versions; Consider updating php 5. to 8.3; Cross-reference with current Microsoft Learn documentation; Update screenshots and UI references if applicable,3796,True,False
2015-06-12-verify-peer-certificate-from-php-curl-for-azure-apps.md,Verify Peer Certificate from PHP cURL for Azure Apps,Yi Wang,2015-06-12,10.2,outdated,"Post is 10.2 years old, likely contains outdated information; References deprecated technology versions: php 7.1, php 7.4",cainfo; dotnet; php curl ssl certificate azure; ssl; php,,php 7.1; php 7.4,Consider archiving or completely rewriting this post; Add deprecation notice if keeping for historical reference; Update technology versions to currently supported versions; Consider updating php 7.1 to 8.3; Consider updating php 7.4 to 8.3; Cross-reference with current Microsoft Learn documentation; Update screenshots and UI references if applicable,2804,True,False
2015-06-18-migrating-data-from-on-premise-mysql-database-to-cleardb.md,Migrating data from On-Premise MySQL Database to ClearDB - Deprecated,Srikanth S.,2015-06-18,10.2,outdated,"Post is 10.2 years old, likely contains outdated information",mysql upgrade; cleardb upgrade; mysql migrate; cleardb; database migration; mysql; php,,,Consider archiving or completely rewriting this post; Add deprecation notice if keeping for historical reference; Cross-reference with current Microsoft Learn documentation; Update screenshots and UI references if applicable,5014,True,False
