filename,title,date,age_years,status,priority_score,technologies_str,deprecated_services_str,deprecated_versions_str,reasoning,recommended_action
2018-08-03-debugging-node-js-apps-on-azure-app-services.md, Debugging Node.js apps on Azure App Services,2018-08-03,7.1,outdated,12,dotnet; debugging; azure app service web app; nodejs,,,"Post is 7.1 years old, likely contains outdated information",HIGH: Archive or completely rewrite
2018-05-22-configure-wordpress-database-connection-on-azure-app-services.md,Configure WordPress Database Connection on Azure App Services,2018-05-22,7.3,outdated,12,wordpress; configuration; azure app service on linux; mysql; php,,,"Post is 7.3 years old, likely contains outdated information",HIGH: Archive or completely rewrite
2018-03-09-change-php-ini-system-configuration-settings.md, Change PHP_INI_SYSTEM configuration settings,2018-03-09,7.5,outdated,12,dotnet; php; configuration; azure app service on windows,,,"Post is 7.5 years old, likely contains outdated information",HIGH: Archive or completely rewrite
2018-02-22-adding-ssh-support-to-asp-net-core-docker-container-created-in-visual-studio-2017.md,Adding SSH support to Asp.Net Core Docker Container created in Visual Studio 2017,2018-02-22,7.5,outdated,12,how-to; azure app service web app; .net core; app service; dotnet; azure webapp; linux; container; web app for containers; azure; docker,,,"Post is 7.5 years old, likely contains outdated information",HIGH: Archive or completely rewrite
2015-06-28-create-a-new-azure-apiapp-in-python-supporting-swagger-2-0.md,Create a new Azure Apiapp in python supporting swagger 2.0,2015-06-28,10.2,outdated,12,how-to; python; apiapp; azure app service on windows; flask-restplus; nodejs; flask,,,"Post is 10.2 years old, likely contains outdated information",HIGH: Archive or completely rewrite
2015-06-23-web-config-for-zend-framework-project-on-azure-apps.md,web.config for Zend Framework Project on Azure Apps,2015-06-23,10.2,outdated,12,configuration; web.config; rewrite rules; zend framework; php,,,"Post is 10.2 years old, likely contains outdated information",HIGH: Archive or completely rewrite
2015-06-23-authenticating-azure-resource-management-rest-api-requests-using-java.md,Authenticating Azure Resource Management REST API requests using Java,2015-06-23,10.2,outdated,12,dotnet; how-to; java adal rest api arm; java,,,"Post is 10.2 years old, likely contains outdated information",HIGH: Archive or completely rewrite
2015-06-18-migrating-data-from-on-premise-mysql-database-to-cleardb.md,Migrating data from On-Premise MySQL Database to ClearDB - Deprecated,2015-06-18,10.2,outdated,12,mysql upgrade; cleardb upgrade; mysql migrate; cleardb; database migration; mysql; php,,,"Post is 10.2 years old, likely contains outdated information",HIGH: Archive or completely rewrite
2015-06-12-verify-peer-certificate-from-php-curl-for-azure-apps.md,Verify Peer Certificate from PHP cURL for Azure Apps,2015-06-12,10.2,outdated,12,cainfo; dotnet; php curl ssl certificate azure; ssl; php,,php 7.1; php 7.4,"Post is 10.2 years old, likely contains outdated information; References deprecated technology versions: php 7.1, php 7.4",HIGH: Archive or completely rewrite
2015-06-11-wordpress-scheduled-jobs-wp-cron-php-and-slowness.md,WordPress Scheduled Jobs (wp-cron.php) and Slowness,2015-06-11,10.2,outdated,12,wordpress; web jobs; azure web jobs; wordpress troubleshooting; performance; cron jobs; php wordpress troubleshooting wordpress; mysql; azure; webjob; php; web apps,,php 5.,"Post is 10.2 years old, likely contains outdated information; References deprecated technology versions: php 5.",HIGH: Archive or completely rewrite
2015-06-09-performance-tuning-mysql-database-on-windows-vms.md,Performance Tuning MySQL Database on Windows VMs,2015-06-09,10.2,outdated,12,how-to; configuration; performance; azure vm; mysql,,,"Post is 10.2 years old, likely contains outdated information",HIGH: Archive or completely rewrite
2015-06-01-use-redis-cache-memcache-option-on-azure-with-drupal.md,Use Redis Cache Memcache Option on Azure with Drupal 7,2015-06-01,10.3,outdated,12,dotnet; memcache; drupal; memcache drupal; php,,,"Post is 10.3 years old, likely contains outdated information",HIGH: Archive or completely rewrite
2015-06-01-troubleshoot-azure-api-app.md, Troubleshoot - Azure Api App,2015-06-01,10.3,outdated,12,dotnet; apiapp; api app; swagger,,,"Post is 10.3 years old, likely contains outdated information",HIGH: Archive or completely rewrite
2015-06-01-create-nodejs-api-app-using-swaggerize-express-and-yo-tool.md,Create Nodejs API APP using Swaggerize-express and YO tool,2015-06-01,10.3,outdated,12,apiapp; nodejs; swagger; express,,,"Post is 10.3 years old, likely contains outdated information",HIGH: Archive or completely rewrite
2015-05-18-how-to-disable-php-wincache-extension-from-php-ini-on-azure.md,How to disable php wincache extension from php.ini on Azure,2015-05-18,10.3,outdated,12,php.ini wincache azure; php,,php 5.,"Post is 10.3 years old, likely contains outdated information; References deprecated technology versions: php 5.",HIGH: Archive or completely rewrite
2015-05-15-logging-sql-server-jdbc-driver-operations-for-java-application-related-cloud-service.md,Logging SQL Server JDBC driver operations for Java application related cloud service,2015-05-15,10.3,outdated,12,jdbc; cloud; sql; sql server; debugging; azure; log; java,,,"Post is 10.3 years old, likely contains outdated information",HIGH: Archive or completely rewrite
2015-05-14-connect-to-microsoft-azure-redis-cache-from-wordpress-site.md,Connect to Microsoft Azure Redis Cache from WordPress site,2015-05-14,10.3,outdated,12,how-to; wordpress; dotnet; redis; redis cache; php; wordpress azure cdn; web apps,,php 5.,"Post is 10.3 years old, likely contains outdated information; References deprecated technology versions: php 5.",HIGH: Archive or completely rewrite
2015-05-12-setting-up-session-affinitysticky-sessions-using-azure-java-sdk-for-cloud-service.md, Setting up Session Affinity/Sticky Sessions using Azure Java SDK for cloud service,2015-05-12,10.3,outdated,12,session; affinity; arr; sdk; azure; java; sticky; ssl offloading,,,"Post is 10.3 years old, likely contains outdated information",HIGH: Archive or completely rewrite
2015-05-12-generating-shared-access-signaturesas-on-azure-blob-using-php.md,Generating Shared access signature(SAS) on Azure Blob using PHP,2015-05-12,10.3,outdated,12,sas; blob storage; dotnet; php; azure storage; docker,,,"Post is 10.3 years old, likely contains outdated information",HIGH: Archive or completely rewrite
2015-05-08-running-java8-on-azure-web-apps.md,Running Java8 on Azure web apps,2015-05-08,10.3,outdated,12,azure; dotnet; java; docker,,java 8,"Post is 10.3 years old, likely contains outdated information; References deprecated technology versions: java 8",HIGH: Archive or completely rewrite
2015-09-18-upload-a-service-certificate-to-azure-vm-using-azure-sdk-java-code.md, Upload a service certificate to Azure VM using Azure SDK Java code,2015-09-18,10.0,outdated,12,certificate; virtual machine; .pfx; dotnet; .cer; azure vm; service certificate; azure sdk; java,,,"Post is 10.0 years old, likely contains outdated information",HIGH: Archive or completely rewrite
2015-09-18-taking-a-crash-dump-of-nodejava-process-using-the-procdump-on-azure-webapp.md, Taking a crash dump of node/java process using the procdump on Azure WebApp,2015-09-18,10.0,outdated,12,crash; node.js; node; java troubleshooting; procdump; dotnet; azure app service on windows; azure webapp; node.exe; debugging; nodejs; java,,,"Post is 10.0 years old, likely contains outdated information",HIGH: Archive or completely rewrite
2015-09-18-accessing-the-tomcat-manager-console-on-azure-java-webapp.md, Accessing the Tomcat manager console on Azure Java webapp,2015-09-18,10.0,outdated,12,how-to; manager; java configuration; configuration; dotnet; apache; webapp; azure app service on windows; azure; java; deploy; tomcat,,,"Post is 10.0 years old, likely contains outdated information",HIGH: Archive or completely rewrite
2015-09-13-npm3-on-azure-web-apps.md, NPM3 on Azure Web Apps,2015-09-13,10.0,outdated,12,npm3; npm; nodejs; azure app service on windows,,,"Post is 10.0 years old, likely contains outdated information",HIGH: Archive or completely rewrite
2015-09-08-accessing-vm-extensions-like-chef-using-azure-sdk-for-java-programmatically.md, Accessing VM extensions like Chef using Azure sdk for Java programmatically,2015-09-08,10.0,outdated,12,how-to; python; java azure sdk chef knife vm extension; dotnet; azure sdk; java,,,"Post is 10.0 years old, likely contains outdated information",HIGH: Archive or completely rewrite
2015-08-23-finding-memory-leaks-and-cpu-usage-in-azure-node-js-web-app.md, Finding Memory Leaks and CPU Usage in Azure Node.js Web App,2015-08-23,10.0,outdated,12,memory-leaks; troubleshoot; profiler; azure app service on windows; waws; debugging; cpu-usage; azure; nodejs,,,"Post is 10.0 years old, likely contains outdated information",HIGH: Archive or completely rewrite
2015-08-19-debug-node-js-web-apps-on-azure.md, Debug Node.js Web Apps on Azure,2015-08-19,10.0,outdated,12,troubleshoot; dotnet; azure app service on windows; debugging; remote-debug; nodejs; logging-errors; /media,,,"Post is 10.0 years old, likely contains outdated information",HIGH: Archive or completely rewrite
2015-08-04-debug-django-web-application-in-azure-web-apps.md, Debug Django Web Application in Azure Web Apps,2015-08-04,10.1,outdated,12,python; troubleshoot; apiapp; django; dotnet; azure app service on windows; waws; debugging; azure; web apps; error-logs,,,"Post is 10.1 years old, likely contains outdated information",HIGH: Archive or completely rewrite
2015-08-03-cleardb-mysql-passwords-and-azure-connection-strings.md, ClearDB (MySQL) Passwords and Azure Connection Strings - Deprecated,2015-08-03,10.1,outdated,12,cleardb troubleshooting; cleardb; azure app service web app; php,,,"Post is 10.1 years old, likely contains outdated information",HIGH: Archive or completely rewrite
2015-07-23-migrate-yii-framework-application-to-azure-web-app.md, Migrate Yii Framework Application to Azure Web App,2015-07-23,10.1,outdated,12,dotnet; yii framework application; web.config; azure web app; yii; php,,,"Post is 10.1 years old, likely contains outdated information",HIGH: Archive or completely rewrite
2015-07-20-troubleshooting-phpmyadmin-site-extension.md, Troubleshooting PHPMyAdmin Site Extension,2015-07-20,10.1,outdated,12,php extension; dotnet; azure web app; azure app service on windows; waws; phpmyadmin; mysql; php troubleshooting; php; web apps,,,"Post is 10.1 years old, likely contains outdated information",HIGH: Archive or completely rewrite
2015-07-17-migrate-zend-framework-2-project-to-azure-web-app.md, Migrate Zend Framework 2 Project to Azure Web App,2015-07-17,10.1,outdated,12,zend framework 2; dotnet; php; azure web app,,php 5.,"Post is 10.1 years old, likely contains outdated information; References deprecated technology versions: php 5.",HIGH: Archive or completely rewrite
2015-07-14-use-microsoft-azure-redis-cache-with-drupal.md, Use Microsoft Azure Redis Cache with Drupal 7,2015-07-14,10.1,outdated,12,dotnet; redis; drupal redis module; drupal; php; predis; microsoft azure redis cache,,,"Post is 10.1 years old, likely contains outdated information",HIGH: Archive or completely rewrite
2015-07-14-troubleshoot-logging-python-application-errors-on-azure-webapi-apps.md,Troubleshoot- logging python Application errors on Azure Web/API Apps,2015-07-14,10.1,outdated,12,python; troubleshoot; apiapp; dotnet; azure app service on windows; waws; debugging; azure; error-logs,,,"Post is 10.1 years old, likely contains outdated information",HIGH: Archive or completely rewrite
2015-07-01-setup-azure-cdn-on-drupal.md, Setup Azure CDN on Drupal,2015-07-01,10.2,outdated,12,configuration; cdn; performance; drupal; php; azure cdn,,,"Post is 10.2 years old, likely contains outdated information",HIGH: Archive or completely rewrite
2015-06-29-install-native-python-modules-on-azure-web-apps-api-apps.md, Install Python Modules on Azure App Services,2015-06-29,10.2,outdated,12,how-to; python; apiapp; dotnet; python-wheel; waws; azure; pycrypto; web apps,,python 3.5,"Post is 10.2 years old, likely contains outdated information; References deprecated technology versions: python 3.5",HIGH: Archive or completely rewrite
2016-02-05-profiling-java-process-on-azure-web-apps.md,Profiling Java process on Azure web apps,2016-02-05,9.6,outdated,12,java troubleshooting; app service; new relic; profiler; webapp; azure app service on windows; debugging; azure; java,,java 8,"Post is 9.6 years old, likely contains outdated information; References deprecated technology versions: java 8",HIGH: Archive or completely rewrite
2016-01-25-using-bower-in-node-js-azure-webapps.md, Using Bower in Node.js Azure WebApps,2016-01-25,9.6,outdated,12,bower; how-to; nodejs; azure app service on windows,,,"Post is 9.6 years old, likely contains outdated information",HIGH: Archive or completely rewrite
2016-01-25-meteor-on-azure-web-apps.md, Meteor 1.2 app on Azure Web Apps (OS X),2016-01-25,9.6,outdated,12,how-to; meteor; dotnet; azure app service on windows; nodejs,,nodejs 0.10; nodejs 10.; java 7; java 8,"Post is 9.6 years old, likely contains outdated information; References deprecated technology versions: nodejs 0.10, nodejs 10., java 7, java 8",HIGH: Archive or completely rewrite
2015-12-28-running-java-jar-file-to-serve-web-requests-on-azure-app-service-web-apps.md,Running java jar file to serve web requests on Azure App Service Web Apps,2015-12-28,9.7,outdated,12,how-to; java configuration; webapp java; dotnet; azure app service on windows; azure java webapp; java; java jar; run java jar webapp,,java 7; java 8,"Post is 9.7 years old, likely contains outdated information; References deprecated technology versions: java 7, java 8",HIGH: Archive or completely rewrite
2015-12-17-triggering-the-php-process-report-on-azure-web-apps-2.md, Triggering the PHP Process Report on Azure Web Apps,2015-12-17,9.7,outdated,12,how-to; wordpress; dotnet; process report; azure web app; azure app service on windows; debugging; php troubleshooting; php; troubleshooting,Azure Websites,php 5.,"Post is 9.7 years old, likely contains outdated information; References deprecated Azure services: Azure Websites; References deprecated technology versions: php 5.",CRITICAL: Update deprecated service references
2015-12-17-custom-deployment-folder-on-azure-web-apps-with-git.md, Custom deployment folder on Azure Web Apps with Git,2015-12-17,9.7,outdated,12,java configuration; azure web app; azure app service on windows; custom deploy; git; deployment; java; deploy,,,"Post is 9.7 years old, likely contains outdated information",HIGH: Archive or completely rewrite
